name,genre,summary,director,release_year,image_url
Lockdown,Thriller,"The film is based on Nigerian medical doctor Ameyo Adadevoh who was credited with having curbed a wider spread of the Ebola virus in Nigeria by placing the patient zero, Patrick Sawyer.",Moses Inwang, 2021,"https://m.media-amazon.com/images/M/MV5BY2FmN2IwYzMtODM4Yi00NmJkLWFhMTYtM2RiYmMzZTY3YWY5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Badboys and Bridesmaids,Romance,The story of three women who move mountains to protect a pact they all took as teenagers and the men who do the same just to stop them.,Seyi Babatope,2021,"https://m.media-amazon.com/images/M/MV5BMTE3ZTM4ZDQtYjU2NC00YjBlLTk2YzEtNGEwNTkyZmY2MDYyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR6,0,67,98_AL_.jpg"
Finding Hubby,"Comedy, Drama, Romance","Finding Hubby follows the adventures of 35-year-old Oyin Clegg and her friends Toke and Gloria as they kiss the many frogs in the quest to find their prince. In the process, they are forced...                See full summary »",Olufemi Ogunsanwo,2020,"https://m.media-amazon.com/images/M/MV5BZTQ5OWZiYTMtYmVkZi00NzgwLWEyMjktZTdhZjhhNjgwNDI1XkEyXkFqcGdeQXVyMTI0MzI1Mzk2._V1_UY98_CR5,0,67,98_AL_.jpg"
2 Weeks in Lagos,Romance,"""2 Weeks in Lagos"" is a turbulent and thrilling journey into the lives of Ejikeme and Lola. Their lives collide when Ejikeme an investment banker comes home from the United States with ...                See full synopsis »",Kathryn Fasegha,2019,"https://m.media-amazon.com/images/M/MV5BNjQyMzYzMDctMTg2YS00N2IwLTlhN2MtNzFmNjdjYWYzYjE2XkEyXkFqcGdeQXVyMjkyNTU3NTc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Charge and Bail,"Comedy, Drama",A high-flying lawyer from the upper class finds herself posted to a charge and bail law firm.,Uyoyou Adia,2021,"https://m.media-amazon.com/images/M/MV5BM2E1ZGFhMzAtM2RkNi00OTkyLWI1ZDQtMDJlNjgyYTRkMTA3XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Eagle Wings,Thriller,"Two Nigerian Airforce Officers owe a duty to rescue their colleague and course mate who crashed in an enemy territory, the rescue operation becomes a major offensive attack on the stronghold of the terrorist.",Paul Apel Papel,2021,"https://m.media-amazon.com/images/M/MV5BNmNjMjQxODEtOWYwYS00ZDFhLTgyNTgtNjc3ZjY2YzYxNWU5XkEyXkFqcGdeQXVyMTE4NTI5NTA@._V1_UY98_CR4,0,67,98_AL_.jpg"
Ratnik,"Action, Sci-Fi","Ratnik, is the story of a World War III soldier returning home after a quarterly phase rotation programme, only to find out that her home front has now descended into some kind of chaos. ...                See full summary »",Dimeji Ajibola,2020,"https://m.media-amazon.com/images/M/MV5BNjZlNzgxYjUtYWEzNS00N2EwLWFhNTUtYzVmMzEyZjk5ZmY4XkEyXkFqcGdeQXVyMjQxOTQ2MDA@._V1_UX67_CR0,0,67,98_AL_.jpg"
Blood Affair,Drama,,Kensteve Anuka,2021,"https://m.media-amazon.com/images/M/MV5BYTU3YjNjOWEtZGQxNi00YTY4LTk2MDItNzY5NzNiYjdkNzI4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Wait,Drama,A devoted doctor helps couples who find themselves desperate for a baby.,Fiyin Gambo, 2021,"https://m.media-amazon.com/images/M/MV5BNzQ1MDJjNWYtNThmOS00YzJkLTg0YzAtZTZkMGUyMjU0OWZiXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
RattleSnake: The Ahanna Story,Drama,"Ahanna, a young gentleman who decides to rob the life he always wanted and dreamt of. He assembles a group of men called ""The Armadas"" with several different skills, carrying out a series ...                See full summary »",Ramsey Nouah,2020,"https://m.media-amazon.com/images/M/MV5BNDJhY2ExYzQtZDRlYS00NGQwLTk0NWQtYWJmOWFjNmUxYzhlXkEyXkFqcGdeQXVyMzM0OTc4NQ@@._V1_UY98_CR5,0,67,98_AL_.jpg"
